archivo,hoja,bloque_id,categoria,n_filas,es_ruido,preview_texto
[BBDD] ANTIGUO RESPUESTAS EVALUACIÓN DOCENTE - EXP. UNIFRANZ POSTGRADO.xlsx,TBL EVALUACION DOCENTE,0,academico,16455,False,Nombre Completo | Grupos | Dirección de correo | Fecha | Programa | Módulo | 1. ¿La/El docente explica los conceptos de manera clara y comprensible? |...
[BBDD] ANTIGUO RESPUESTAS EVALUACIÓN DOCENTE - EXP. UNIFRANZ POSTGRADO.xlsx,TBL EXPERIENCIA UNIFRANZ,0,academico,2540,False,"Grupos | Dirección de correo | Fecha | Programa | 1. ¿Considera que los recursos tecnológicos proporcionados (aula virtual, videoconferencias, etc.) f..."
[BBDD] ANTIGUO RESPUESTAS EVALUACIÓN DOCENTE - EXP. UNIFRANZ POSTGRADO.xlsx,Análisis de Evaluación,0,academico,131,False,"EVALUACIÓN DEL DOCENTE
6. ¿Qué aspectos del estilo de enseñanza del docente considera que podrían mejorarse? | 4. ¿Qué otro contenido relacionado con ..."
Base centralizada Académica ARCA (1).xlsx,ACTAS DE NOTAS,0,academico,8661,False,N° | POS - ACTAS | CÉDULA DE IDENTIDAD | MES INICO | AÑO INCIO | APELLIDO PATERNO | APELLIDO MATERNO | NOMBRES | MÓDULO 1 | MÓDULO 2 | MÓDULO 3 | MÓDU...
Base centralizada Académica ARCA (1).xlsx,MODULOS,0,academico,2031,False,N° | POS - MODULO | N° POS | FECHA INICIO | FECHA FIN | TIPO DE PROGRAMA | DOCENTE | TIPO DE DOCENTE | MODULO | NOMBRE DEL PROGRAMA | HRS MODULO | PAG...
Base centralizada Académica ARCA (1).xlsx,PROGRMAS  DE BAJA,0,academico,2,False,N° | POS - IBP | NOMBRE DEL PROGRAMA | VERSIÓN | MES IBP | AÑO IBP | ESCUELA | INVERSION DEL PROGRAMA | PUNTO EQUILIBRIO | HORAS CLASE | GASTOS PROGRA...
Base centralizada Académica ARCA (1).xlsx,IBP,0,academico,749,False,N° | POS - IBP | NOMBRE DEL PROGRAMA | VERSIÓN | MES IBP | AÑO IBP | ESCUELA | INVERSION DEL PROGRAMA | PUNTO EQUILIBRIO | HORAS CLASE | GASTOS PROGRA...
Base centralizada Académica ARCA (1).xlsx,CRITERIOS,0,academico,16,False,"Estado academico | Estado reprobado | Estado ARCA | Combinaciones
Aprobado | Aprobado | Titulado | Aprobado | Aprobado | Titulado
Reprobado | Insufici..."
BD Cobranzas.xlsx,COBRANZAS 2024 2025,0,financiero,10018,False,TIPO DE PROGRAMA | FECHA DE LA PRIMERA FACTURA | POS | NOMBRE DEL PROGRAMA | ASESOR | CI | NOMBRES | PATERNO | MATERNO | CELULAR | CORREO ELECTRONICO ...
BD Cobranzas.xlsx,Hoja 8,0,academico,8,False,"POS | NOMBRE DEL PROGRAMA | ASESOR | CI | NOMBRES | PATERNO | MATERNO | CELULAR | COMENTARIO
POS-5385 | DIPLOMADO EN MEDICINA ESTÉTICA v. 25 | PATRICI..."
BD Cobranzas.xlsx,Hoja 12,0,financiero,8,False,"Estado academico | Estado reprobado | Estado ARCA | ESTADO ACADEMICO | ESTADO ARCA | ESTADO REPROBADO
Aprobado | Aprobado | Titulado | Aprobado | Titu..."
BD Cobranzas.xlsx,Hoja 12,1,financiero,3,False,Fecha de Facturación | N° de Factura | NIT | Razón Social | Concepto | Observaciones en la Factura | Canal de Pago | Categoria | Gestión que se esta p...
BD Cobranzas.xlsx,Hoja 12,2,financiero,8,False,"META 2026 | IDEAL | 0.3
JUNIO | 1512588 | 453776.4 | 450000
JULIO | 1622019 | 486605.7 | 450000
AGOSTO | 1644864 | 493459.2 | 480000
SEPTIEMBRE | 1667..."
BD Cobranzas.xlsx,Hoja 4,0,financiero,517,False,"POS | NOMBRE DEL PROGRAMA | FECHA INICIO | FECHA FINALIZACIÓN | INSCRITOS | DIPLOMAS EMITIDOS
POS-4939 | CURSO TABLAS DINÁMICAS EN MICROSOFT EXCEL v. ..."
BD Cobranzas.xlsx,Copia de COBRANZAS 2024 2025,0,financiero,5479,False,TIPO DE PROGRAMA | FECHA DE INICIO PLANILLA MICAELA | FECHA DE LA PRIMERA FACTURA | POS | NOMBRE DEL PROGRAMA | ASESOR | CI | NOMBRES | PATERNO | MATE...
BD Egresos.xlsx,egresos,0,financiero,1374,False,PROGRAMA | EGRESO ANTERIOR | EGRESO REAL | INGRESO | RENTABILIDAD | NOMBRE DEL PROGRAMA | TIPO DE PROGRAMA | ESTADO DEL PROGRAMA | COMENTARIOS | NRO P...
BD Egresos.xlsx,Gestiones,0,financiero,25,False,"TIPO DE INGRESO | MES | MES NUMERICO | EJECUTADO 2023 | EJECUTADO 2024 | EJECUTADO 2025 | META 2025 | % EJECUTADO 2025
POR PROGRAMAS | ENERO | 1 | 679..."
BD Egresos.xlsx,acumulados,0,financiero,13,False,"MES NUMERICO | MES | EJECUTADO 2023 | EJECUTADO 2024 | EJECUTADO 2025 | META 2025
1 | ENERO | Bs679.446 | Bs800.355 | Bs1.123.296 | Bs828.875
2 | FEBR..."
BD Techos.xlsx,BD Techos,0,financiero,208,False,N° | Gestión Techo | Coord. | Asistente | Asesor Comercial | Fecha Inicio | Fecha Conclusión | Escuela techo | Insitución | POS | EXP | Programa | Est...
EJECUTADO VS META.xlsx,EJECUTADO,0,financiero,25,False,CATEGORIA | MES | MES NUMERICO | EJECUTADO 2023 | META POR CATEGORIA 2024 | EJECUTADO 2024 | EJECUTADO 2025 | META POR CATEGORIA 2025 | EJECUTADO 2026...
EJECUTADO VS META.xlsx,GESTIONES,0,financiero,13,False,"MES | EJECUTADO 2023 | EJECUTADO 2024 | EJECUTADO 2025 | META 2025
ENERO | Bs679.446 | Bs800.355 | 1123296 | 828875 | 135.520555
FEBRERO | Bs1.171.260..."
Evaluación Docente y Unifranz.xlsx,DIP. EXP DOC. X MODULO,0,academico,4097,False,"información basica de las encuestas | Bloque 1. Contenido y Relevancia Estratégica
Por favor, califique las siguientes afirmaciones en una escala de 1..."
Evaluación Docente y Unifranz.xlsx,DIP. EXP UNIFRANZ,0,academico,518,False,"información basica de las encuestas | Bloque 1. Pertinencia y Actualización Global
Por favor, califique las siguientes afirmaciones en una escala de 1..."
Evaluación Docente y Unifranz.xlsx,FINAL EXPERTOCURSO,0,academico,277,False,"información basica de las encuestas | Bloque 1. Pertinencia y Actualización Global
Por favor, califique las siguientes afirmaciones en una escala de 1..."
Experiencia Docente 2.0.xlsx,CURSOS DOC 1,0,academico,995,False,Respuesta número | Nombre completo del usuario | Grupos | Dirección de correo | Fecha | Programa | 1. ¿La/El docente explica los conceptos de manera c...
Experiencia Docente 2.0.xlsx,DIPLOMADOS DOCENTE,0,academico,14398,False,N° | Nombre completo del usuario | Grupos | Dirección de correo | Fecha | Programa POS | Módulo | A 1. ¿La/El docente explica los conceptos de manera ...
Experiencia Docente 2.0.xlsx,CURSOS DOCENTE,0,academico,829,False,Respuesta número | Nombre completo del usuario | Grupos | Dirección de correo | Fecha | Programa | 1. ¿El docente explica los conceptos de manera clar...
Experiencia Docente 2.0.xlsx,DIPLOMADOS DOC 2,0,academico,1477,False,N° | Nombre completo del usuario | Grupos | Dirección de correo | Fecha | Programa | Módulo | 1. ¿El docente explica los conceptos de manera clara y c...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Centralizado_Mensual,0,academico,55,False,Nº | FECHA | AÑO | MES | NOMBRE MES | TIPO DE PROGRAMA | ESCUELA | ORIGEN DEL PROGRAMA | DISEÑO CURRICULAR | TC (Cliente Externo) | TC (Cliente Pregra...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Centralizado_Mensual,1,ruido,1,True,13
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Centralizado_Mensual,2,academico,176,False,True | 16 | 2026-03-01 00:00:00 | 2026 | 3 | marzo | Curso | Tecnología | Programas Propios | Operación regular | True | True | True | True | True | T...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Centralizado_Mensual,3,academico,21,False,"PROGRAMAS QUE NO SE ENCUENTRAN EN LA OTRA PLANIFICACIÓN
DIPLOMADO EN DERECHO PENAL Y PROCESAL PENAL | 14 | 14
CURSO EN ATENCIÓN AL CLIENTE Y MANEJO DE..."
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Centralizado_Mensual,4,academico,2230,False,True | 10 | 2026-06-01 00:00:00 | 2026 | 6 | junio | Programa Experto | Negocios | Programas Propios | Operación regular | True | True | True | True |...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Julio-2025,0,academico,24,False,Nº | FECHA | AÑO | MES | NOMBRE MES | TIPO DE PROGRAMA | ESCUELA | ORIGEN DEL PROGRAMA | DISEÑO CURRICULAR | TC (Cliente Externo) | TC (Cliente Pregra...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Agosto-2025,0,academico,26,False,Nº | FECHA | AÑO | MES | NOMBRE MES | TIPO DE PROGRAMA | ESCUELA | ORIGEN DEL PROGRAMA | DISEÑO CURRICULAR | TC (Cliente Externo) | TC (Cliente Pregra...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Septiembre-2025,0,academico,25,False,Nº | FECHA | AÑO | MES | NOMBRE MES | TIPO DE PROGRAMA | ESCUELA | ORIGEN DEL PROGRAMA | DISEÑO CURRICULAR | TC (Cliente Externo) | TC (Cliente Pregra...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Octubre-2025,0,academico,31,False,Nº | FECHA | AÑO | MES | NOMBRE MES | TIPO DE PROGRAMA | ESCUELA | ORIGEN DEL PROGRAMA | DISEÑO CURRICULAR | TC (Cliente Externo) | TC (Cliente Pregra...
PLANIFICACION Y EJECUCION ACADÉMICA (INICIOS Y OKR`S).xlsx,Noviembre-2025,0,academico,29,False,Nº | FECHA | AÑO | MES | NOMBRE MES | TIPO DE PROGRAMA | ESCUELA | ORIGEN DEL PROGRAMA | DISEÑO CURRICULAR | TC (Cliente Externo) | TC (Cliente Pregra...
